
16071006	18772	869
16071007	18772	1706
16071010	18772	564
16071016	18772	1552
16071018	18772	551
16071021	18772	1891
16071022	18772	1868
16071023	18772	838
16071024	18772	1819
16071025	18772	1834
16071026	18772	1652
16071027	18772	1316
16071043	18776	279
16071044	18776	731
16071045	18776	533
16071046	18776	522
16071050	18776	553
16071051	18776	1150
16071052	18776	2069
16071053	18776	1851
16071054	18776	1820
16071055	18776	2167
16071056	18776	2119
16071058	18776	1859
16071059	18776	1798
16071060	18776	790
16071061	18776	2442
16071062	18776	295
16071076	18777	421
16071077	18777	1714
16071078	18777	1798
16071079	18777	1973
16072001	18777	1820
16072002	18777	1630
16072003	18777	1853
16072006	18777	1129
16072007	18777	2330
16072008	18777	2183
16072009	18777	1662
16072010	18777	1596
16072012	18777	2023
16072013	18777	1815
16072014	18777	873
16072021	18778	1978
16072022	18778	542
16072023	18778	1823
16072024	18778	1816
16072025	18778	1819
16072026	18778	1814
16072033	18778	1667
16072034	18778	1814
16072035	18778	1822
16072036	18778	1120
16072038	18778	1930
16072039	18778	1790
16072040	18778	2227
16072041	18778	1884
16072042	18778	1880
16072043	18778	423
16072046	18778	199
16072047	18778	2671
16072057	18779	1990
16072058	18779	1733
16072059	18779	1846
16072060	18779	1194
16072061	18779	2395
16072062	18779	1730
16073001	18779	813
16073017	18779	642
16073018	18779	1810
16073019	18779	1824
16073020	18779	1462
16073021	18779	902
16073030	18780	1952
16073031	18780	1824
16073032	18780	1108
16073033	18780	1828
16073034	18780	255
16073035	18780	926
16073037	18780	1998
16073038	18780	1820
16073039	18780	821
16073040	18780	238
16077021	18786	354
16077027	18787	1108
16077028	18787	634
16077029	18787	407
16077030	18787	1842
16077031	18787	1823
16077032	18787	1904
16077033	18787	1412
16077034	18787	1961
16077037	18787	473
16077038	18787	1850
16077039	18787	1801
16077040	18787	1922
16077041	18787	1744
16077043	18787	1266
16077044	18787	1883
16077045	18787	1656
16077046	18787	2339
16077047	18787	1720
16077054	18788	2316
16077055	18788	978
16078001	18788	2029
16078002	18788	1832
16078003	18788	807
16078004	18788	1931
16078005	18788	1842
16078006	18788	1855
16078007	18788	2017
16078008	18788	847
16078009	18788	1861
16078011	18788	1856
16078012	18788	2011
16078013	18788	2442
16078014	18788	1050
16078028	18789	1849
16078029	18789	2397
16078030	18789	934
16078031	18789	2422
16078032	18789	218
16078033	18789	1930
16078034	18789	1845
16078035	18789	1933
